mode,cycle,warmup,idle_rss_mib,active_rss_mib,idle_fds,idle_http_connections,idle_threads,idle_dma_buf_fds,arena_mib,allocated_mib,malloc_mapped_mib,free_chunks_mib,anonymous_mib,active_allocated_mib,active_malloc_mapped_mib,idle_gpu_mib,active_gpu_mib
NVIDIA NVENC,0,true,521.57,971.961,92,2,34,0,,,,,,,,,
NVIDIA NVENC,1,true,525.875,975.164,92,2,34,0,,,,,,,,,
NVIDIA NVENC,2,true,602.0,1052.18,92,2,34,0,,,,,,,,,
NVIDIA NVENC,3,true,608.559,1056.484,92,2,34,0,,,,,,,,,
NVIDIA NVENC,4,true,614.047,1065.199,92,2,34,0,,,,,,,,,
NVIDIA NVENC,5,true,615.824,1063.289,92,2,34,0,,,,,,,,,
NVIDIA NVENC,6,true,616.023,1063.949,92,2,34,0,,,,,,,,,
NVIDIA NVENC,7,true,616.023,1063.949,92,2,34,0,,,,,,,,,
NVIDIA NVENC,8,true,616.031,1065.34,92,2,34,0,,,,,,,,,
NVIDIA NVENC,9,true,616.031,1065.34,92,2,34,0,,,,,,,,,
NVIDIA NVENC,10,false,616.031,1065.801,92,2,34,0,,,,,,,,,
NVIDIA NVENC,11,false,616.914,1069.449,92,2,34,0,,,,,,,,,
NVIDIA NVENC,12,false,618.973,1066.898,92,2,34,0,,,,,,,,,
NVIDIA NVENC,13,false,619.387,1068.234,92,2,34,0,,,,,,,,,
NVIDIA NVENC,14,false,619.387,1067.773,92,2,34,0,,,,,,,,,
NVIDIA NVENC,15,false,619.387,1064.086,92,2,34,0,,,,,,,,,
NVIDIA NVENC,16,false,619.387,1069.617,92,2,34,0,,,,,,,,,
NVIDIA NVENC,17,false,619.387,1068.695,92,2,34,0,,,,,,,,,
NVIDIA NVENC,18,false,619.387,1066.852,92,2,34,0,,,,,,,,,
NVIDIA NVENC,19,false,619.387,1068.695,92,2,34,0,,,,,,,,,
NVIDIA NVENC,20,false,619.387,1067.312,92,2,34,0,,,,,,,,,
NVIDIA NVENC,21,false,619.387,1067.312,92,2,34,0,,,,,,,,,
NVIDIA NVENC,22,false,619.387,1068.695,92,2,34,0,,,,,,,,,
NVIDIA NVENC,23,false,619.387,1072.383,92,2,34,0,,,,,,,,,
NVIDIA NVENC,24,false,619.387,1071.461,92,2,34,0,,,,,,,,,
NVIDIA NVENC,25,false,619.387,1065.008,92,2,34,0,,,,,,,,,
NVIDIA NVENC,26,false,621.371,1067.453,92,2,34,0,,,,,,,,,
NVIDIA NVENC,27,false,621.375,1068.84,92,2,34,0,,,,,,,,,
NVIDIA NVENC,28,false,621.375,1068.84,92,2,34,0,,,,,,,,,
NVIDIA NVENC,29,false,621.375,1070.223,92,2,34,0,,,,,,,,,
NVIDIA NVENC,30,false,621.375,1070.684,92,2,34,0,,,,,,,,,
NVIDIA NVENC,31,false,621.375,1069.301,92,2,34,0,,,,,,,,,
NVIDIA NVENC,32,false,622.289,1071.137,92,2,34,0,,,,,,,,,
NVIDIA NVENC,33,false,622.289,1071.137,92,2,34,0,,,,,,,,,
NVIDIA NVENC,34,false,622.289,1071.137,92,2,34,0,,,,,,,,,
NVIDIA NVENC,35,false,622.289,1072.52,92,2,34,0,,,,,,,,,
NVIDIA NVENC,36,false,622.289,1072.059,92,2,34,0,,,,,,,,,
NVIDIA NVENC,37,false,622.723,1069.266,92,2,34,0,,,,,,,,,
NVIDIA NVENC,38,false,622.723,1072.031,92,2,34,0,,,,,,,,,
NVIDIA NVENC,39,false,622.723,1067.883,92,2,34,0,,,,,,,,,
NVIDIA NVENC with allocator observer,0,true,447.586,897.285,93,2,35,0,136.938,35.509,3.707,101.428,159.91,120.347,3.707,260,987
NVIDIA NVENC with allocator observer,1,true,451.414,900.723,93,2,35,0,140.645,35.611,3.707,105.034,163.738,120.515,3.707,260,987
NVIDIA NVENC with allocator observer,2,true,510.215,960.625,93,2,35,0,201.039,35.688,3.707,165.351,222.539,120.586,3.707,260,987
NVIDIA NVENC with allocator observer,3,true,537.016,985.387,93,2,35,0,222.387,35.753,3.707,186.634,245.34,120.637,3.707,260,987
NVIDIA NVENC with allocator observer,4,true,541.242,990.09,93,2,35,0,223.34,35.788,3.707,187.551,248.094,120.688,3.707,260,987
NVIDIA NVENC with allocator observer,5,true,544.613,994.383,93,2,35,0,226.613,35.824,3.707,190.789,251.465,120.703,3.707,260,987
NVIDIA NVENC with allocator observer,6,true,544.789,994.387,93,2,35,0,226.613,35.871,3.707,190.743,251.641,120.764,3.707,260,987
NVIDIA NVENC with allocator observer,7,true,545.93,994.777,93,2,35,0,226.613,35.907,3.707,190.706,252.781,120.823,3.707,260,987
NVIDIA NVENC with allocator observer,8,true,545.93,993.855,93,2,35,0,226.613,35.931,3.707,190.682,252.781,120.839,3.707,260,987
NVIDIA NVENC with allocator observer,9,true,545.93,994.316,93,2,35,0,226.613,35.953,3.707,190.66,252.781,120.839,3.707,260,987
NVIDIA NVENC with allocator observer,10,false,548.004,995.93,93,2,35,0,226.613,35.974,3.707,190.64,252.797,120.875,3.707,260,987
NVIDIA NVENC with allocator observer,11,false,548.004,997.773,93,2,35,0,226.613,35.985,3.707,190.628,252.797,120.88,3.707,260,987
NVIDIA NVENC with allocator observer,12,false,548.004,996.852,94,3,35,0,226.613,36.024,3.707,190.589,252.797,121.858,3.707,260,987
NVIDIA NVENC with allocator observer,13,false,548.008,997.777,94,3,35,0,226.613,36.035,3.707,190.579,252.801,120.931,3.707,260,987
NVIDIA NVENC with allocator observer,14,false,548.008,998.238,94,3,35,0,226.613,36.051,3.707,190.562,252.801,120.953,3.707,260,987
NVIDIA NVENC with allocator observer,15,false,548.008,996.855,94,3,35,0,226.613,36.062,3.707,190.552,252.801,120.955,3.707,260,987
NVIDIA NVENC with allocator observer,16,false,548.008,994.09,94,3,35,0,226.613,36.071,3.707,190.542,252.801,120.964,3.707,260,987
NVIDIA NVENC with allocator observer,17,false,548.008,1000.082,94,3,35,0,226.613,36.085,3.707,190.529,252.801,120.99,3.707,260,987
NVIDIA NVENC with allocator observer,18,false,548.289,997.137,94,3,35,0,226.895,36.107,3.707,190.788,253.082,120.998,3.707,260,987
NVIDIA NVENC with allocator observer,19,false,548.289,994.832,94,3,35,0,226.895,36.123,3.707,190.771,253.082,121.008,3.707,260,987
NVIDIA NVENC with allocator observer,20,false,548.289,997.598,94,3,35,0,226.895,36.133,3.707,190.762,253.082,121.954,3.707,260,987
NVIDIA NVENC with allocator observer,21,false,548.605,996.531,94,3,35,0,227.211,36.153,3.707,191.058,253.398,121.053,3.707,260,987
NVIDIA NVENC with allocator observer,22,false,548.605,996.531,94,3,35,0,227.211,36.168,3.707,191.043,253.398,121.062,3.707,260,987
NVIDIA NVENC with allocator observer,23,false,548.605,996.07,94,3,35,0,227.211,36.173,3.707,191.038,253.398,121.069,3.707,260,987
NVIDIA NVENC with allocator observer,24,false,548.977,995.98,94,3,35,0,227.211,36.199,3.707,191.012,253.77,121.094,3.707,260,987
NVIDIA NVENC with allocator observer,25,false,551.887,1001.656,94,3,35,0,227.211,36.213,3.707,190.998,256.68,121.103,3.707,260,987
NVIDIA NVENC with allocator observer,26,false,554.746,1002.211,94,3,35,0,227.211,36.227,3.707,190.984,256.68,121.118,3.707,260,987
NVIDIA NVENC with allocator observer,27,false,554.75,1004.516,94,3,35,0,227.211,36.234,3.707,190.977,256.684,121.124,3.707,260,987
NVIDIA NVENC with allocator observer,28,false,554.75,1003.137,94,3,35,0,227.211,36.237,3.707,190.974,256.684,121.131,3.707,260,987
NVIDIA NVENC with allocator observer,29,false,554.75,1004.059,94,3,35,0,227.211,36.249,3.707,190.962,256.684,121.149,3.707,260,987
NVIDIA NVENC with allocator observer,30,false,554.75,1002.215,94,3,35,0,227.211,36.26,3.707,190.951,256.684,121.157,3.707,260,987
NVIDIA NVENC with allocator observer,31,false,554.75,1004.059,94,3,35,0,227.211,36.276,3.707,190.935,256.684,121.144,3.707,260,987
NVIDIA NVENC with allocator observer,32,false,556.223,1003.688,93,2,35,0,228.684,36.266,3.707,192.418,258.156,121.16,3.707,260,987
NVIDIA NVENC with allocator observer,33,false,556.223,1005.992,93,2,35,0,228.684,36.276,3.707,192.407,258.156,121.17,3.707,260,987
